collection_id,bin_id,truck_id,collection_timestamp,fill_level_at_collection_pct,waste_collected_kg,collection_status,emergency_collection,route_date,route_id
C0000042,B0001,T09,2026-07-22 11:00:00,49.45441844442014,218.9557531905477,Completed,0,2026-07-22,RTE000809
C0000043,B0001,T04,2026-07-29 11:00:00,50.63341949461842,221.37990418947965,Completed,0,2026-07-29,RTE000357
C0000044,B0002,T05,2025-08-08 10:00:00,89.84682423707864,323.97294824908124,Completed,0,2025-08-08,RTE000360
C0000045,B0002,T05,2025-08-15 10:00:00,74.31333894678752,269.2794190374174,Completed,0,2025-08-15,RTE000361
C0000046,B0002,T05,2025-08-22 10:00:00,73.8937666251278,257.81166672627756,Completed,0,2025-08-22,RTE000364
C0000047,B0002,T10,2025-08-29 10:00:00,78.59421464210217,281.5171291852904,Completed,0,2025-08-29,RTE000816
C0000048,B0002,T05,2025-09-05 10:00:00,73.92706343591595,251.04388124565267,Completed,0,2025-09-05,RTE000368
C0000049,B0002,T05,2025-09-12 10:00:00,78.09166407226391,256.2425753830478,Completed,0,2025-09-12,RTE000371
C0000050,B0002,T05,2025-09-21 21:00:00,103.8309656044234,372.3506360547448,Completed,1,2025-09-21,RTE000375
C0000051,B0002,T10,2025-10-01 19:00:00,103.23387802659916,369.63431281581484,Completed,1,2025-10-01,RTE000819
C0000052,B0002,T10,2025-10-03 10:00:00,21.099813752332295,43.71143446856854,Completed,0,2025-10-03,RTE000820
C0000053,B0002,T10,2025-10-10 10:00:00,82.39251939920935,299.11221691907133,Completed,0,2025-10-10,RTE000822
C0000054,B0002,T10,2025-10-17 10:00:00,73.59043139764427,265.5879525431607,Completed,0,2025-10-17,RTE000824
C0000055,B0002,T05,2025-10-24 10:00:00,75.62009433488336,256.9824683920624,Completed,0,2025-10-24,RTE000382
C0000056,B0002,T10,2025-10-31 10:00:00,78.53461293393626,262.4477981107078,Completed,0,2025-10-31,RTE000827
C0000057,B0002,T10,2025-11-07 10:00:00,82.13140412644748,287.92231781177213,Completed,0,2025-11-07,RTE000829
C0000058,B0002,T05,2025-11-14 10:00:00,78.78580301469272,284.1800362263371,Completed,0,2025-11-14,RTE000384
C0000059,B0002,T10,2025-11-21 10:00:00,75.85091180496912,269.45726313645156,Completed,0,2025-11-21,RTE000833
C0000060,B0002,T05,2025-11-28 10:00:00,77.26239690650888,264.9303061196028,Completed,0,2025-11-28,RTE000387
C0000061,B0002,T05,2025-12-07 08:00:00,103.86421358403422,368.3237170264495,Completed,1,2025-12-07,RTE000390
C0000062,B0002,T05,2025-12-12 10:00:00,59.760050711517955,186.22745820193106,Completed,0,2025-12-12,RTE000392
C0000063,B0002,T05,2025-12-19 10:00:00,86.76241411945048,313.2186789683376,Completed,0,2025-12-19,RTE000394
C0000064,B0002,T10,2025-12-26 10:00:00,82.31473533093167,270.7763342111376,Completed,0,2025-12-26,RTE000838
C0000065,B0002,T10,2026-01-02 10:00:00,86.20441933990026,302.377521507884,Completed,0,2026-01-02,RTE000839
C0000066,B0002,T10,2026-01-09 10:00:00,73.88194049398976,265.37538832253415,Completed,0,2026-01-09,RTE000841
C0000067,B0002,T05,2026-01-16 10:00:00,71.7041275064175,257.0776359239492,Completed,0,2026-01-16,RTE000399
C0000068,B0002,T10,2026-01-23 10:00:00,71.3987421932585,236.27795466042278,Completed,0,2026-01-23,RTE000844
C0000069,B0002,T05,2026-01-30 10:00:00,77.75250476990787,283.2094752985652,Completed,0,2026-01-30,RTE000402
C0000070,B0002,T05,2026-02-06 10:00:00,70.22165068893005,245.17633772259876,Completed,0,2026-02-06,RTE000405
C0000071,B0002,T05,2026-02-16 05:00:00,103.22410861877675,369.17415840569566,Completed,1,2026-02-16,RTE000407
C0000072,B0002,T10,2026-02-26 04:00:00,103.16478395043696,359.7818499038416,Completed,1,2026-02-26,RTE000848
C0000073,B0002,T10,2026-02-27 10:00:00,19.261475774693075,43.26196614058958,Completed,0,2026-02-27,RTE000849
C0000074,B0002,T10,2026-03-08 19:00:00,103.60986627427549,357.2314195517246,Completed,1,2026-03-08,RTE000851
C0000075,B0002,T05,2026-03-13 10:00:00,54.84640580965048,183.43058797433142,Completed,0,2026-03-13,RTE000411
C0000076,B0002,T05,2026-03-20 10:00:00,75.84162785848191,257.71094834643014,Completed,0,2026-03-20,RTE000413
C0000077,B0002,T10,2026-03-29 20:00:00,103.87958579296055,365.0446286733558,Completed,1,2026-03-29,RTE000854
C0000078,B0002,T05,2026-04-03 10:00:00,52.143225832282006,164.8729668100174,Completed,0,2026-04-03,RTE000417
C0000079,B0002,T10,2026-04-10 10:00:00,80.80413943703695,279.6624160687187,Completed,0,2026-04-10,RTE000856
C0000080,B0002,T10,2026-04-17 10:00:00,80.8990976971374,265.9980271455071,Completed,0,2026-04-17,RTE000859
C0000081,B0002,T10,2026-04-24 10:00:00,83.4018905246513,279.9990464157461,Completed,0,2026-04-24,RTE000862
C0000082,B0002,T05,2026-05-03 07:00:00,103.76381835174536,378.08491743188773,Completed,1,2026-05-03,RTE000421
C0000083,B0002,T10,2026-05-08 10:00:00,56.54040063513261,185.35586464438924,Completed,0,2026-05-08,RTE000864
C0000084,B0002,T05,2026-05-15 10:00:00,81.60896499965514,283.9590327411833,Completed,0,2026-05-15,RTE000423
C0000085,B0002,T05,2026-05-24 13:00:00,104.10921973849085,352.66897154384907,Completed,1,2026-05-24,RTE000426
C0000086,B0002,T10,2026-05-29 10:00:00,61.33711270050096,207.4827055991589,Completed,0,2026-05-29,RTE000869
C0000087,B0002,T10,2026-06-05 10:00:00,79.72410817319594,281.9921331582367,Completed,0,2026-06-05,RTE000870
C0000088,B0002,T10,2026-06-12 10:00:00,78.3677054632379,257.1925869756631,Completed,0,2026-06-12,RTE000871
C0000089,B0002,T10,2026-06-21 03:00:00,103.35708160616205,359.2311015759979,Completed,1,2026-06-21,RTE000874
C0000090,B0002,T05,2026-06-26 10:00:00,61.5838120256511,202.58091516404076,Completed,0,2026-06-26,RTE000432
C0000091,B0002,T05,2026-07-03 10:00:00,80.65058479892775,284.70017234974534,Completed,0,2026-07-03,RTE000435
C0000092,B0002,T10,2026-07-12 20:00:00,103.6721230220586,358.78999313637433,Completed,1,2026-07-12,RTE000875
C0000093,B0002,T05,2026-07-22 03:00:00,103.24346359125416,358.1517126921714,Completed,1,2026-07-22,RTE000440
C0000094,B0002,T05,2026-07-24 10:00:00,31.263552797713203,105.63428567390847,Completed,0,2026-07-24,RTE000441
C0000095,B0003,T03,2025-08-05 12:00:00,60.2845236149509,266.54000824787624,Completed,0,2025-08-05,RTE000120
C0000096,B0003,T03,2025-08-12 12:00:00,67.93603558044265,342.11493184470834,Completed,0,2025-08-12,RTE000121
C0000097,B0003,T03,2025-08-19 12:00:00,62.52209138512984,295.68469698899133,Completed,0,2025-08-19,RTE000123
C0000098,B0003,T08,2025-08-26 12:00:00,64.00633439803963,307.98839913876765,Completed,0,2025-08-26,RTE000570
C0000099,B0003,T03,2025-09-02 12:00:00,65.53652417231396,323.90132213955854,Completed,0,2025-09-02,RTE000125
C0000100,B0003,T08,2025-09-09 12:00:00,62.68720093763509,286.835447788345,Completed,0,2025-09-09,RTE000573
C0000101,B0003,T08,2025-09-20 14:00:00,103.28022239026173,493.15718966929956,Completed,1,2025-09-20,RTE000575
C0000102,B0003,T08,2025-09-30 12:00:00,88.1670451509534,439.03485488026104,Completed,0,2025-09-30,RTE000577
C0000103,B0003,T08,2025-10-11 17:00:00,103.26793798900005,519.9788617679467,Completed,1,2025-10-11,RTE000579
C0000104,B0003,T03,2025-10-21 12:00:00,84.75300487921322,411.1557596420693,Completed,0,2025-10-21,RTE000128
C0000105,B0003,T03,2025-11-01 14:00:00,104.37175232958313,500.21701133362575,Completed,1,2025-11-01,RTE000130
C0000106,B0003,T08,2025-11-04 12:00:00,31.0506882928744,124.65976308829624,Completed,0,2025-11-04,RTE000582
C0000107,B0003,T08,2025-11-15 00:00:00,103.53544171498261,516.1247644003383,Completed,1,2025-11-15,RTE000585
C0000108,B0003,T03,2025-11-18 12:00:00,30.494184045464127,117.68644664202901,Completed,0,2025-11-18,RTE000131
C0000109,B0003,T08,2025-11-29 00:00:00,103.74490130137512,530.053246698698,Completed,1,2025-11-29,RTE000587
C0000110,B0003,T08,2025-12-02 12:00:00,28.583936726801063,100.18995206075148,Completed,0,2025-12-02,RTE000588
C0000111,B0003,T03,2025-12-09 12:00:00,72.15059165303846,326.4969113227817,Completed,0,2025-12-09,RTE000133
C0000112,B0003,T08,2025-12-19 11:00:00,103.34813621578512,491.75768451012686,Completed,1,2025-12-19,RTE000591
C0000113,B0003,T03,2025-12-23 12:00:00,41.6784544487636,178.42133687645295,Completed,0,2025-12-23,RTE000136
C0000114,B0003,T08,2025-12-30 12:00:00,72.63559586494469,338.306617855025,Completed,0,2025-12-30,RTE000593
C0000115,B0003,T03,2026-01-06 12:00:00,68.10937993403408,311.0672198394899,Completed,0,2026-01-06,RTE000139
C0000116,B0003,T03,2026-01-17 18:00:00,103.1459228858702,525.3895044604865,Completed,1,2026-01-17,RTE000142
C0000117,B0003,T08,2026-01-20 12:00:00,22.393515226042872,76.10966958175455,Completed,0,2026-01-20,RTE000595
C0000118,B0003,T03,2026-01-27 12:00:00,67.1667025401243,302.6205112219251,Completed,0,2026-01-27,RTE000144
C0000119,B0003,T03,2026-02-03 12:00:00,66.50229969019216,334.1396328529017,Completed,0,2026-02-03,RTE000146
C0000120,B0003,T08,2026-02-10 12:00:00,60.01177679032631,289.9115284038371,Completed,0,2026-02-10,RTE000596
C0000121,B0003,T03,2026-02-17 12:00:00,62.24056035677531,269.83873212420093,Completed,0,2026-02-17,RTE000149
C0000122,B0003,T03,2026-02-24 12:00:00,68.344018469504,323.73789213431183,Completed,0,2026-02-24,RTE000150
C0000123,B0003,T08,2026-03-03 12:00:00,64.25618606341878,318.27045857413526,Completed,0,2026-03-03,RTE000598
C0000124,B0003,T08,2026-03-10 12:00:00,62.57768796429044,302.14411861779047,Completed,0,2026-03-10,RTE000600
C0000125,B0003,T03,2026-03-17 12:00:00,63.68172808047801,291.4684587161543,Completed,0,2026-03-17,RTE000152
C0000126,B0003,T03,2026-03-24 12:00:00,66.44268448048965,319.39388583129016,Completed,0,2026-03-24,RTE000154
C0000127,B0003,T08,2026-03-31 12:00:00,64.51907546450964,286.0616786666457,Completed,0,2026-03-31,RTE000603
C0000128,B0003,T08,2026-04-07 12:00:00,70.53078994045579,330.75566943442055,Completed,0,2026-04-07,RTE000605
C0000129,B0003,T03,2026-04-14 12:00:00,68.5038592121411,333.38097794237854,Completed,0,2026-04-14,RTE000155
C0000130,B0003,T03,2026-04-21 12:00:00,64.96031792189346,306.7972285247272,Completed,0,2026-04-21,RTE000157
C0000131,B0003,T03,2026-04-28 12:00:00,67.21512097956303,302.537984651385,Completed,0,2026-04-28,RTE000159
C0000132,B0003,T03,2026-05-08 15:00:00,103.31388171745384,495.2330529913124,Completed,1,2026-05-08,RTE000162
C0000133,B0003,T03,2026-05-12 12:00:00,38.694693130306845,156.9955626485277,Completed,0,2026-05-12,RTE000163
C0000134,B0003,T08,2026-05-19 12:00:00,69.82345061481838,353.2358231258902,Completed,0,2026-05-19,RTE000608
C0000135,B0003,T03,2026-05-26 12:00:00,64.16035111138446,288.44812579207075,Completed,0,2026-05-26,RTE000165
C0000136,B0003,T03,2026-06-02 12:00:00,69.15160490094023,339.5267940609375,Completed,0,2026-06-02,RTE000167
C0000137,B0003,T03,2026-06-09 12:00:00,64.75000542737922,310.4490857463103,Completed,0,2026-06-09,RTE000168
C0000138,B0003,T08,2026-06-16 12:00:00,68.20675670812992,323.9117529582593,Completed,0,2026-06-16,RTE000610
C0000139,B0003,T03,2026-06-23 12:00:00,67.19891374023106,325.30525623046873,Completed,0,2026-06-23,RTE000171
C0000140,B0003,T08,2026-06-30 12:00:00,66.79434673871842,334.45736930873755,Completed,0,2026-06-30,RTE000612
C0000141,B0003,T08,2026-07-07 12:00:00,62.68298864726366,242.5818987091788,Completed,0,2026-07-07,RTE000614
C0000142,B0003,T03,2026-07-14 12:00:00,77.82298197019323,368.1085186463284,Completed,0,2026-07-14,RTE000173
C0000143,B0003,T03,2026-07-21 12:00:00,66.17086251181377,333.20580700395544,Completed,0,2026-07-21,RTE000174
C0000144,B0003,T08,2026-07-28 12:00:00,62.35584314801229,266.362346190406,Completed,0,2026-07-28,RTE000618
C0000145,B0004,T09,2025-08-09 21:00:00,103.20653482023943,778.850264948781,Completed,1,2025-08-09,RTE000623
C0000146,B0004,T09,2025-08-14 16:00:00,36.756860265271406,234.0071911269475,Completed,0,2025-08-14,RTE000627
C0000147,B0004,T09,2025-08-21 16:00:00,50.826798191343435,366.74648035642815,Completed,0,2025-08-21,RTE000630
C0000148,B0004,T09,2025-08-28 16:00:00,48.995845123160045,359.1187487569534,Completed,0,2025-08-28,RTE000634
C0000149,B0004,T04,2025-09-04 16:00:00,47.18329664507547,354.4868707078189,Completed,0,2025-09-04,RTE000191
C0000150,B0004,T04,2025-09-11 16:00:00,47.40004595918762,310.40801760872273,Completed,0,2025-09-11,RTE000195
C0000151,B0004,T04,2025-09-18 16:00:00,51.1636327328017,389.0199015068046,Completed,0,2025-09-18,RTE000199
C0000152,B0004,T04,2025-10-02 16:00:00,89.17507158763622,639.9352048637094,Completed,0,2025-10-02,RTE000205
C0000153,B0004,T09,2025-10-17 13:00:00,103.0536234274413,756.7361352432733,Completed,1,2025-10-17,RTE000659
C0000154,B0004,T04,2025-10-23 16:00:00,47.32860624920664,347.4541663155003,Completed,0,2025-10-23,RTE000217
C0000155,B0004,T04,2025-11-08 10:00:00,103.45100445378819,765.0725906012739,Completed,1,2025-11-08,RTE000225
C0000156,B0004,T04,2025-11-24 03:00:00,103.54466313514949,789.2773336783495,Completed,1,2025-11-24,RTE000236
C0000157,B0004,T04,2025-11-27 16:00:00,33.55862099604273,234.25057311273812,Completed,0,2025-11-27,RTE000239
C0000158,B0004,T04,2025-12-04 16:00:00,50.93572507916979,358.7289214323739,Completed,0,2025-12-04,RTE000244
C0000159,B0004,T04,2025-12-11 16:00:00,52.807577663094165,369.58549912666626,Completed,0,2025-12-11,RTE000247
C0000160,B0004,T04,2025-12-18 16:00:00,53.28792740421275,380.04255213701106,Completed,0,2025-12-18,RTE000250
C0000161,B0004,T04,2025-12-25 16:00:00,52.705877299913304,394.6551479550401,Completed,0,2025-12-25,RTE000254
C0000162,B0004,T04,2026-01-01 16:00:00,50.35993495449092,363.62344938235776,Completed,0,2026-01-01,RTE000260
C0000163,B0004,T09,2026-01-08 16:00:00,47.52055242155379,302.27209612498484,Completed,0,2026-01-08,RTE000699
C0000164,B0004,T04,2026-01-15 16:00:00,51.23347922022007,365.8901204445541,Completed,0,2026-01-15,RTE000269
C0000165,B0004,T04,2026-01-22 16:00:00,47.713234789111375,312.36982682590326,Completed,0,2026-01-22,RTE000273
C0000166,B0004,T09,2026-01-29 16:00:00,51.26062453073167,344.4613214988333,Completed,0,2026-01-29,RTE000710
C0000167,B0004,T09,2026-02-05 16:00:00,50.576281709302904,333.19702219480297,Completed,0,2026-02-05,RTE000715
C0000168,B0004,T04,2026-02-12 16:00:00,51.06361508703151,351.96382662658453,Completed,0,2026-02-12,RTE000280
C0000169,B0004,T04,2026-02-19 16:00:00,50.3441468587429,356.4990466868131,Completed,0,2026-02-19,RTE000284
C0000170,B0004,T09,2026-02-26 16:00:00,48.62108146020224,326.32896726857456,Completed,0,2026-02-26,RTE000727
C0000171,B0004,T04,2026-03-05 16:00:00,51.3134455096863,392.5557314771576,Completed,0,2026-03-05,RTE000292
C0000172,B0004,T09,2026-03-12 16:00:00,45.75331095834659,297.9285413102549,Completed,0,2026-03-12,RTE000735
C0000173,B0004,T09,2026-03-19 16:00:00,51.894321614525886,367.00993726688677,Completed,0,2026-03-19,RTE000739
C0000174,B0004,T04,2026-03-26 16:00:00,49.6150876729219,322.8069223563057,Completed,0,2026-03-26,RTE000300
C0000175,B0004,T04,2026-04-02 16:00:00,53.03127584881208,381.8972590939713,Completed,0,2026-04-02,RTE000305
C0000176,B0004,T04,2026-04-09 16:00:00,50.36384355870742,324.9501914709411,Completed,0,2026-04-09,RTE000307
C0000177,B0004,T09,2026-04-23 16:00:00,99.91710380837405,719.9522332773197,Completed,0,2026-04-23,RTE000756
C0000178,B0004,T09,2026-04-30 16:00:00,55.02662467592685,367.80499101589,Completed,0,2026-04-30,RTE000761
C0000179,B0004,T09,2026-05-07 16:00:00,54.99257005038511,368.59939097977644,Completed,0,2026-05-07,RTE000765
C0000180,B0004,T09,2026-05-14 16:00:00,54.0989240445446,401.91721120627585,Completed,0,2026-05-14,RTE000769
C0000181,B0004,T09,2026-05-28 16:00:00,94.89031055933516,719.968856323229,Completed,0,2026-05-28,RTE000778
C0000182,B0004,T04,2026-06-11 16:00:00,95.5474680615836,743.4110706458408,Completed,0,2026-06-11,RTE000335
C0000183,B0004,T04,2026-06-18 16:00:00,48.271822438015185,322.81399736965994,Completed,0,2026-06-18,RTE000338
C0000184,B0004,T04,2026-06-25 16:00:00,53.095486382196654,404.9131321651381,Completed,0,2026-06-25,RTE000341
C0000185,B0004,T09,2026-07-02 16:00:00,47.49223329841348,314.7494647227338,Completed,0,2026-07-02,RTE000798
C0000186,B0004,T09,2026-07-16 16:00:00,96.70146642716033,720.2623447050537,Completed,0,2026-07-16,RTE000806
C0000187,B0004,T04,2026-07-30 16:00:00,95.44578299778483,698.1923038006864,Completed,0,2026-07-30,RTE000358
C0000188,B0005,T04,2025-08-09 19:00:00,103.02931513398971,400.32492890904683,Completed,1,2025-08-09,RTE000180
C0000189,B0005,T04,2025-08-12 15:00:00,31.614987088064595,125.53017401925639,Completed,0,2025-08-12,RTE000181
C0000190,B0005,T04,2025-08-26 15:00:00,90.10320497048477,373.40838131437454,Completed,0,2025-08-26,RTE000187
C0000191,B0005,T09,2025-09-02 15:00:00,49.82351616540742,214.06924929866304,Completed,0,2025-09-02,RTE000635
C0000192,B0005,T04,2025-09-09 15:00:00,43.89532447127719,175.65315025229575,Completed,0,2025-09-09,RTE000193
C0000193,B0005,T09,2025-09-23 15:00:00,95.05406615214737,399.19396162289445,Completed,0,2025-09-23,RTE000648
C0000194,B0005,T04,2025-09-30 15:00:00,52.23201512441968,204.68972944828133,Completed,0,2025-09-30,RTE000203
C0000195,B0005,T09,2025-10-14 15:00:00,96.45710077629276,426.77731968486074,Completed,0,2025-10-14,RTE000656
C0000196,B0005,T09,2025-10-28 15:00:00,90.73383382268548,388.46665114036216,Completed,0,2025-10-28,RTE000663
C0000197,B0005,T04,2025-11-04 15:00:00,51.75225629012337,214.3842171927576,Completed,0,2025-11-04,RTE000222
C0000198,B0005,T04,2025-11-18 15:00:00,100.12279421834607,416.5172281165294,Completed,0,2025-11-18,RTE000231
C0000199,B0005,T09,2025-11-25 15:00:00,55.69160792993081,214.01934867373953,Completed,0,2025-11-25,RTE000679
C0000200,B0005,T04,2025-12-09 10:00:00,103.79119567361046,458.74485749148,Completed,1,2025-12-09,RTE000245
C0000201,B0005,T04,2025-12-09 15:00:00,6.7322502226491725,0.0,Completed,0,2025-12-09,RTE000245
C0000202,B0005,T04,2025-12-16 15:00:00,57.203252930297985,230.74078055845467,Completed,0,2025-12-16,RTE000248
C0000203,B0005,T04,2025-12-30 15:00:00,100.43058100075142,442.7072630670964,Completed,0,2025-12-30,RTE000258
C0000204,B0005,T04,2026-01-06 15:00:00,45.28811128354743,172.7287099790999,Completed,0,2026-01-06,RTE000264
C0000205,B0005,T04,2026-01-20 15:00:00,96.71955827774556,415.24784216214744,Completed,0,2026-01-20,RTE000271
C0000206,B0005,T09,2026-01-27 15:00:00,47.060004238377836,196.4045438787868,Completed,0,2026-01-27,RTE000708
C0000207,B0005,T09,2026-02-03 15:00:00,48.21047818492783,178.41517945111778,Completed,0,2026-02-03,RTE000713
C0000208,B0005,T09,2026-02-10 15:00:00,53.45689771019204,235.5454636599702,Completed,0,2026-02-10,RTE000717
C0000209,B0005,T04,2026-02-17 15:00:00,45.722654623954774,156.65858079584518,Completed,0,2026-02-17,RTE000282
C0000210,B0005,T09,2026-02-24 15:00:00,55.929893433193676,221.15440003177216,Completed,0,2026-02-24,RTE000725
C0000211,B0005,T04,2026-03-03 15:00:00,52.973217363711164,202.65738587609886,Completed,0,2026-03-03,RTE000290
C0000212,B0005,T04,2026-03-17 15:00:00,99.97280907653064,445.773635006104,Completed,0,2026-03-17,RTE000296
C0000213,B0005,T09,2026-03-24 15:00:00,47.588939478333565,202.82045134022542,Completed,0,2026-03-24,RTE000742
C0000214,B0005,T04,2026-03-31 15:00:00,48.86991941487776,182.7444361090945,Completed,0,2026-03-31,RTE000303
C0000215,B0005,T09,2026-04-15 07:00:00,103.22569952263694,441.48450325369225,Completed,1,2026-04-15,RTE000752
C0000216,B0005,T09,2026-04-21 15:00:00,48.177502235066044,204.94288098678766,Completed,0,2026-04-21,RTE000754
C0000217,B0005,T09,2026-04-28 15:00:00,50.221799989491075,189.1859260094477,Completed,0,2026-04-28,RTE000759
C0000218,B0005,T09,2026-05-05 15:00:00,51.93101602293885,202.14191281893198,Completed,0,2026-05-05,RTE000763
C0000219,B0005,T09,2026-05-12 15:00:00,55.75945903197119,237.40024231961274,Completed,0,2026-05-12,RTE000767
C0000220,B0005,T09,2026-05-26 15:00:00,99.46792667885236,413.2903843249448,Completed,0,2026-05-26,RTE000776
C0000221,B0005,T04,2026-06-02 15:00:00,55.61197130261388,237.45576271903664,Completed,0,2026-06-02,RTE000330
C0000222,B0005,T04,2026-06-09 15:00:00,51.285494342947345,225.90545911754498,Completed,0,2026-06-09,RTE000333
C0000223,B0005,T09,2026-06-16 15:00:00,44.694526129610445,179.8655330500638,Completed,0,2026-06-16,RTE000786
C0000224,B0005,T04,2026-06-23 15:00:00,51.69824307185371,198.98527780124775,Completed,0,2026-06-23,RTE000339
C0000225,B0005,T04,2026-06-30 15:00:00,55.66849477237529,228.06248569642383,Completed,0,2026-06-30,RTE000343
C0000226,B0005,T04,2026-07-07 15:00:00,52.19181441226573,205.18877982613316,Completed,0,2026-07-07,RTE000347
C0000227,B0005,T09,2026-07-22 12:00:00,103.75309681944738,461.55097024415517,Completed,1,2026-07-22,RTE000809
C0000228,B0005,T04,2026-07-28 15:00:00,42.267150306295875,149.9846488812801,Completed,0,2026-07-28,RTE000356
C0000229,B0006,T05,2025-08-06 07:00:00,95.83496263505816,579.1296397541116,Completed,0,2025-08-06,RTE000359
C0000230,B0006,T10,2025-08-13 07:00:00,93.39399112782905,576.1074302131846,Completed,0,2025-08-13,RTE000815
C0000231,B0006,T05,2025-08-20 22:00:00,103.80331048575175,675.5798939512107,Completed,1,2025-08-20,RTE000363
